postcode,totalprops,last14,average,median,avgtom
AB10,268,33,725,650,190
AB11,235,28,725,598,200
AB12,46,6,1113,962,196
AB13,5,1,1385,1499,209
AB14,18,2,874,637,243
AB15,148,14,1257,1001,243
AB16,22,3,710,624,146
AB21,50,8,764,663,204
AB22,26,5,796,737,208
AB23,13,2,739,650,228
AB24,219,29,712,600,201
AB25,178,19,708,625,241
AB30,3,2,1007,672,6
AB31,10,3,1158,995,40
AB32,18,0,1025,871,227
AB33,6,1,1021,1122,263
AB34,3,1,566,500,37
AL1,131,33,1300,1248,165
AL2,50,15,1331,1300,93
AL3,63,13,1813,1530,193
AL4,36,14,1444,1298,170
AL5,93,14,1882,1390,176
B1,172,33,974,850,147
B2,23,4,1093,1025,146
B3,63,13,867,795,186
B4,21,7,1377,802,64
B5,140,21,853,784,181
B6,21,5,512,475,204
B7,10,1,687,464,202
B8,24,2,1050,737,237
B9,13,4,617,550,67
B10,20,3,595,541,148
B11,40,6,556,537,164
B12,42,5,842,702,224
B13,96,28,837,675,159
B14,54,16,721,702,123
B15,118,19,988,888,159
B16,272,34,818,695,182
B17,232,25,942,875,216
B18,76,12,802,750,220
B19,30,6,1059,649,111
B20,67,17,631,576,116
B21,20,5,557,598,142
B23,141,32,566,511,170
B24,58,11,578,453,199
B25,14,4,618,625,73
B26,26,6,764,676,136
B27,50,9,676,650,200
B28,28,4,699,694,164
B29,906,29,1478,1227,338
B30,56,4,845,650,172
B31,73,18,680,650,148
B32,51,15,698,695,113
B33,46,8,673,636,157
B34,9,6,936,676,12
B35,3,2,650,650,14
B36,19,7,677,693,94
B37,14,3,642,673,89
B38,19,2,750,650,103
B40,0,0,,,
B42,51,9,727,693,155
BA1,151,34,1320,1150,126
BA2,128,37,1448,1298,104
BA3,34,12,894,772,80
BA4,41,12,826,676,113
BA5,26,4,687,663,266
BA6,29,7,712,624,77
BA7,11,4,761,700,29
BA8,9,2,873,650,192
BA9,13,4,885,725,117
BA10,5,0,1364,1200,177
BB1,53,13,506,451,173
BB2,93,21,498,451,152
BB3,77,15,452,425,123
BB4,69,13,613,524,90
BB5,157,28,447,429,96
BB6,43,5,459,429,107
BB7,56,13,761,590,146
BD1,261,37,470,451,154
BD2,56,8,453,465,157
BD3,52,8,450,451,129
