postcode,totalprops,last14,average,median,avgtom
AB10,268,33,£725 pcm,£650 pcm,190 days
AB11,235,28,£725 pcm,£598 pcm,200 days
AB12,46,6,"£1,113 pcm",£962 pcm,196 days
AB13,5,1,"£1,385 pcm","£1,499 pcm",209 days
AB14,18,2,£874 pcm,£637 pcm,243 days
AB15,148,14,"£1,257 pcm","£1,001 pcm",243 days
AB16,22,3,£710 pcm,£624 pcm,146 days
AB21,50,8,£764 pcm,£663 pcm,204 days
AB22,26,5,£796 pcm,£737 pcm,208 days
AB23,13,2,£739 pcm,£650 pcm,228 days
AB24,219,29,£712 pcm,£600 pcm,201 days
AB25,178,19,£708 pcm,£625 pcm,241 days
AB30,3,2,"£1,007 pcm",£672 pcm,6 days
AB31,10,3,"£1,158 pcm",£995 pcm,40 days
AB32,18,0,"£1,025 pcm",£871 pcm,227 days
AB33,6,1,"£1,021 pcm","£1,122 pcm",263 days
AB34,3,1,£566 pcm,£500 pcm,37 days
AL1,131,33,"£1,300 pcm","£1,248 pcm",165 days
AL2,50,15,"£1,331 pcm","£1,300 pcm",93 days
AL3,63,13,"£1,813 pcm","£1,530 pcm",193 days
AL4,36,14,"£1,444 pcm","£1,298 pcm",170 days
AL5,93,14,"£1,882 pcm","£1,390 pcm",176 days
B1,172,33,£974 pcm,£850 pcm,147 days
B2,23,4,"£1,093 pcm","£1,025 pcm",146 days
B3,63,13,£867 pcm,£795 pcm,186 days
B4,21,7,"£1,377 pcm",£802 pcm,64 days
B5,140,21,£853 pcm,£784 pcm,181 days
B6,21,5,£512 pcm,£475 pcm,204 days
B7,10,1,£687 pcm,£464 pcm,202 days
B8,24,2,"£1,050 pcm",£737 pcm,237 days
B9,13,4,£617 pcm,£550 pcm,67 days
B10,20,3,£595 pcm,£541 pcm,148 days
B11,40,6,£556 pcm,£537 pcm,164 days
B12,42,5,£842 pcm,£702 pcm,224 days
B13,96,28,£837 pcm,£675 pcm,159 days
B14,54,16,£721 pcm,£702 pcm,123 days
B15,118,19,£988 pcm,£888 pcm,159 days
B16,272,34,£818 pcm,£695 pcm,182 days
B17,232,25,£942 pcm,£875 pcm,216 days
B18,76,12,£802 pcm,£750 pcm,220 days
B19,30,6,"£1,059 pcm",£649 pcm,111 days
B20,67,17,£631 pcm,£576 pcm,116 days
B21,20,5,£557 pcm,£598 pcm,142 days
B23,141,32,£566 pcm,£511 pcm,170 days
B24,58,11,£578 pcm,£453 pcm,199 days
B25,14,4,£618 pcm,£625 pcm,73 days
B26,26,6,£764 pcm,£676 pcm,136 days
B27,50,9,£676 pcm,£650 pcm,200 days
B28,28,4,£699 pcm,£694 pcm,164 days
B29,906,29,"£1,478 pcm","£1,227 pcm",338 days
B30,56,4,£845 pcm,£650 pcm,172 days
B31,73,18,£680 pcm,£650 pcm,148 days
B32,51,15,£698 pcm,£695 pcm,113 days
B33,46,8,£673 pcm,£636 pcm,157 days
B34,9,6,£936 pcm,£676 pcm,12 days
B35,3,2,£650 pcm,£650 pcm,14 days
B36,19,7,£677 pcm,£693 pcm,94 days
B37,14,3,£642 pcm,£673 pcm,89 days
B38,19,2,£750 pcm,£650 pcm,103 days
B40,0,0,-,-,-
B42,51,9,£727 pcm,£693 pcm,155 days
BA1,151,34,"£1,320 pcm","£1,150 pcm",126 days
BA2,128,37,"£1,448 pcm","£1,298 pcm",104 days
BA3,34,12,£894 pcm,£772 pcm,80 days
BA4,41,12,£826 pcm,£676 pcm,113 days
BA5,26,4,£687 pcm,£663 pcm,266 days
BA6,29,7,£712 pcm,£624 pcm,77 days
BA7,11,4,£761 pcm,£700 pcm,29 days
BA8,9,2,£873 pcm,£650 pcm,192 days
BA9,13,4,£885 pcm,£725 pcm,117 days
BA10,5,0,"£1,364 pcm","£1,200 pcm",177 days
BB1,53,13,£506 pcm,£451 pcm,173 days
BB2,93,21,£498 pcm,£451 pcm,152 days
BB3,77,15,£452 pcm,£425 pcm,123 days
BB4,69,13,£613 pcm,£524 pcm,90 days
BB5,157,28,£447 pcm,£429 pcm,96 days
BB6,43,5,£459 pcm,£429 pcm,107 days
BB7,56,13,£761 pcm,£590 pcm,146 days
BD1,261,37,£470 pcm,£451 pcm,154 days
BD2,56,8,£453 pcm,£465 pcm,157 days
BD3,52,8,£450 pcm,£451 pcm,129 days
BD4,78,8,£442 pcm,£425 pcm,129 days
BD5,59,7,£424 pcm,£400 pcm,125 days
BD6,36,7,£486 pcm,£495 pcm,58 days
BD7,187,22,£544 pcm,£394 pcm,226 days
BD8,66,10,£415 pcm,£397 pcm,150 days
BD9,76,12,£439 pcm,£400 pcm,176 days
BD10,36,15,£669 pcm,£538 pcm,49 days
BD11,8,5,£680 pcm,£576 pcm,136 days
BD12,18,5,£498 pcm,£450 pcm,65 days
BD13,41,8,£453 pcm,£425 pcm,62 days
BD14,14,3,£562 pcm,£572 pcm,121 days
BH1,156,24,£951 pcm,£824 pcm,156 days
BH2,98,22,£917 pcm,£825 pcm,145 days
BH3,22,4,£944 pcm,£711 pcm,153 days
BH4,76,19,"£1,007 pcm",£950 pcm,142 days
BH5,87,13,£848 pcm,£825 pcm,179 days
BH6,83,19,"£1,014 pcm",£850 pcm,150 days
BH7,31,9,£861 pcm,£785 pcm,116 days
BH8,114,30,"£1,042 pcm",£849 pcm,186 days
BH9,62,14,"£1,209 pcm","£1,075 pcm",139 days
BH10,22,4,"£1,195 pcm","£1,125 pcm",170 days
BH11,9,3,"£1,244 pcm","£1,148 pcm",108 days
BH12,66,17,£898 pcm,£750 pcm,172 days
BH13,98,15,"£2,043 pcm","£1,735 pcm",167 days
BL0,26,10,£644 pcm,£650 pcm,46 days
BL2,60,17,£518 pcm,£494 pcm,77 days
BL3,85,18,£615 pcm,£498 pcm,172 days
BL4,53,12,£492 pcm,£494 pcm,141 days
BL5,33,8,£620 pcm,£576 pcm,89 days
BN1,325,74,"£1,402 pcm","£1,274 pcm",169 days
BN2,276,64,"£1,586 pcm","£1,300 pcm",179 days
BN3,329,100,"£1,409 pcm","£1,200 pcm",152 days
BN5,10,3,"£2,841 pcm","£1,525 pcm",187 days
BN6,16,0,"£1,612 pcm","£1,300 pcm",207 days
BN7,40,10,"£1,489 pcm","£1,138 pcm",130 days
BN8,12,2,"£1,712 pcm","£1,276 pcm",117 days
BN9,17,7,£989 pcm,£995 pcm,79 days
BN10,30,13,"£1,054 pcm","£1,125 pcm",133 days
BN11,138,36,£843 pcm,£849 pcm,128 days
BN12,28,12,£980 pcm,£960 pcm,95 days
BN13,23,3,"£1,175 pcm","£1,050 pcm",174 days
BN14,40,13,"£1,012 pcm",£975 pcm,137 days
BN15,27,7,"£1,063 pcm",£997 pcm,88 days
BN16,31,4,"£1,051 pcm","£1,000 pcm",198 days
BN17,56,12,£986 pcm,£883 pcm,146 days
BN18,27,7,"£1,438 pcm","£1,148 pcm",103 days
BN20,42,4,£996 pcm,£813 pcm,166 days
BR1,215,53,"£1,313 pcm","£1,248 pcm",123 days
BR2,180,34,"£1,378 pcm","£1,200 pcm",155 days
BR3,212,64,"£1,324 pcm","£1,200 pcm",100 days
BR4,14,2,"£1,247 pcm","£1,299 pcm",69 days
BS0,0,0,-,-,-
BS1,107,26,"£1,311 pcm","£1,018 pcm",157 days
BS2,47,14,"£1,150 pcm",£923 pcm,172 days
BS3,69,33,£988 pcm,£900 pcm,118 days
BS4,50,17,£869 pcm,£794 pcm,152 days
BS5,59,17,£828 pcm,£750 pcm,114 days
BS6,86,32,"£1,092 pcm","£1,025 pcm",167 days
BS7,85,25,"£1,108 pcm",£949 pcm,142 days
BS8,128,38,"£1,275 pcm","£1,163 pcm",150 days
BS9,39,14,"£1,192 pcm",£901 pcm,127 days
BS10,41,9,£972 pcm,£950 pcm,119 days
BS11,13,4,£733 pcm,£802 pcm,230 days
BS13,8,3,£883 pcm,£849 pcm,70 days
BS14,21,8,£919 pcm,£901 pcm,103 days
BS15,59,18,£745 pcm,£750 pcm,154 days
BS16,115,29,£998 pcm,£875 pcm,133 days
BS20,70,17,£930 pcm,£849 pcm,88 days
BS21,38,7,£704 pcm,£650 pcm,202 days
BS22,19,6,£645 pcm,£676 pcm,174 days
BS23,60,20,£616 pcm,£579 pcm,101 days
BT1,44,7,£652 pcm,£610 pcm,161 days
BT2,4,0,"£1,106 pcm",£768 pcm,201 days
BT3,4,0,£856 pcm,£813 pcm,470 days
BT4,45,12,£621 pcm,£575 pcm,179 days
BT5,66,20,£589 pcm,£550 pcm,215 days
BT6,59,24,£601 pcm,£550 pcm,129 days
BT7,268,12,£886 pcm,£900 pcm,476 days
BT8,24,7,£674 pcm,£675 pcm,47 days
BT9,149,18,£861 pcm,£750 pcm,258 days
BT10,10,1,£743 pcm,£718 pcm,176 days
BT11,17,2,£558 pcm,£575 pcm,226 days
BT12,70,15,£524 pcm,£525 pcm,315 days
BT13,43,5,£458 pcm,£450 pcm,192 days
BT14,31,10,£479 pcm,£451 pcm,227 days
BT15,40,12,£629 pcm,£495 pcm,105 days
BT16,29,10,£598 pcm,£595 pcm,152 days
BT17,26,8,£636 pcm,£595 pcm,180 days
BT18,21,4,£924 pcm,£750 pcm,191 days
BT19,39,10,£688 pcm,£585 pcm,201 days
BT20,54,13,£546 pcm,£510 pcm,179 days
BT21,12,1,£691 pcm,£638 pcm,203 days
BT22,30,4,£538 pcm,£468 pcm,252 days
BT23,81,14,£596 pcm,£500 pcm,215 days
BT24,20,8,£539 pcm,£510 pcm,132 days
BT25,12,7,£508 pcm,£525 pcm,65 days
BT26,19,3,£822 pcm,£760 pcm,286 days
BT27,24,6,£571 pcm,£525 pcm,433 days
BT28,39,7,£628 pcm,£595 pcm,210 days
BT29,1,0,£700 pcm,£700 pcm,17 days
BT30,55,12,£531 pcm,£500 pcm,263 days
BT31,4,1,£499 pcm,£523 pcm,142 days
BT32,16,5,£477 pcm,£475 pcm,218 days
BT33,16,5,£563 pcm,£550 pcm,152 days
BT34,20,4,£457 pcm,£458 pcm,193 days
BT35,7,3,£514 pcm,£550 pcm,18 days
BT36,50,11,£522 pcm,£495 pcm,236 days
BT37,35,6,£495 pcm,£475 pcm,152 days
BT38,76,10,£504 pcm,£451 pcm,212 days
BT39,30,1,£663 pcm,£550 pcm,304 days
BT40,52,9,£481 pcm,£450 pcm,183 days
